"record_id","age","workclass","education","occupation","hours_per_week","income"
454,48,"Private","Doctorate","Sales",49,"<=50K"
455,51,"Private","Prof-school","Tech-support",59,"<=50K"
456,17,"Self-emp-not-inc","Assoc-voc","Tech-support",35,"<=50K"
457,53,"Private","11th","Exec-managerial",40,"<=50K"
458,32,"Local-gov","Assoc-acdm","Tech-support",61,"<=50K"
459,42,"Self-emp-not-inc","Masters","Tech-support",36,"<=50K"
460,35,"Private","Doctorate","Craft-repair",8,"<=50K"
461,50,"Self-emp-inc","11th","Adm-clerical",47,"<=50K"
462,34,"Local-gov","Bachelors","Exec-managerial",29,">50K"
463,45,"Self-emp-not-inc","Masters","Handlers-cleaners",28,"<=50K"
464,33,"Private","Assoc-voc","Exec-managerial",58,"<=50K"
465,24,"Private","Prof-school","Other-service",71,">50K"
466,55,"State-gov","11th","Adm-clerical",28,"<=50K"
467,49,"State-gov","Assoc-voc","Adm-clerical",53,"<=50K"
468,62,"Private","HS-grad","Prof-specialty",39,">50K"
469,39,"Private","Doctorate","Other-service",42,">50K"
470,54,"Unknown","Prof-school","Sales",55,"<=50K"
471,65,"Local-gov","Doctorate","Tech-support",43,"<=50K"
472,35,"Private","Assoc-voc","Handlers-cleaners",30,"<=50K"
473,21,"Local-gov","Doctorate","Prof-specialty",35,"<=50K"
474,35,"Private","Doctorate","Exec-managerial",49,">50K"
475,36,"Private","Assoc-voc","Handlers-cleaners",12,">50K"
476,41,"Local-gov","HS-grad","Prof-specialty",54,"<=50K"
477,62,"Private","11th","Handlers-cleaners",21,"<=50K"
478,34,"Federal-gov","Doctorate","Handlers-cleaners",41,">50K"
479,44,"Self-emp-not-inc","Some-college","Craft-repair",38,"<=50K"
480,35,"Self-emp-not-inc","Masters","Exec-managerial",41,"<=50K"
481,39,"Local-gov","Bachelors","Sales",43,"<=50K"
482,43,"Private","Assoc-voc","Tech-support",42,">50K"
483,56,"Self-emp-not-inc","Some-college","Exec-managerial",49,">50K"
484,40,"Self-emp-not-inc","11th","Prof-specialty",30,">50K"
485,48,"Federal-gov","Some-college","Adm-clerical",38,"<=50K"
486,49,"Private","Prof-school","Exec-managerial",55,"<=50K"
487,51,"Local-gov","Masters","Craft-repair",49,"<=50K"
488,31,"Private","Bachelors","Exec-managerial",25,"<=50K"
489,60,"Private","Bachelors","Prof-specialty",48,"<=50K"
490,33,"Self-emp-not-inc","Masters","Unknown",23,"<=50K"
491,37,"Private","Some-college","Handlers-cleaners",33,"<=50K"
492,57,"Private","Masters","Other-service",55,"<=50K"
493,56,"Federal-gov","11th","Other-service",13,"<=50K"
494,24,"Local-gov","HS-grad","Adm-clerical",19,"<=50K"
495,27,"Private","Assoc-voc","Exec-managerial",56,"<=50K"
496,20,"Self-emp-not-inc","Some-college","Tech-support",30,"<=50K"
497,41,"Federal-gov","HS-grad","Prof-specialty",56,"<=50K"
498,41,"Private","Bachelors","Exec-managerial",38,"<=50K"
499,43,"Private","11th","Prof-specialty",46,">50K"
500,46,"Private","Assoc-voc","Tech-support",50,">50K"
